Titre;Genres Netflix;Casting;Note IMDb;Date d'ajout;Lien Netflix;Type
¡Ay, mi madre!;Comédies|#|Films espagnols;Estefanía de los Santos|#|Secun de la Rosa|#|Terele Pávez|#|María Alfonsa Rosso|#|Mariola Fuentes|#|Alfonso Sánchez|#|Paz Vega|#|Marta Torné|#|Concha Galán;3.9;2019-07-19;/title/80997613/;film
#Horror;Films d'horreur|#|Films indépendants;Chloë Sevigny|#|Timothy Hutton|#|Natasha Lyonne|#|Balthazar Getty|#|Taryn Manning|#|Stella Schnabel|#|Sadie Seelert|#|Haley Murphy|#|Bridget McGarry|#|Blue Lindberg|#|Mina Sundwall|#|Emma Adler|#|Annabelle Dexter-Jones|#|Lydia Hearst;3.0;2016-04-30;/title/80074904/;film
#realityhigh;Comédies|#|Films pour ados;Nesta Cooper|#|Kate Walsh|#|John Michael Higgins|#|Keith Powers|#|Alicia Sanz|#|Jake Borelli|#|Kid Ink|#|Yousef Erakat|#|Rebekah Graf|#|Anne Winters|#|Peter Gilroy|#|Patrick Davis;5.2;2017-09-08;/title/80125979/;film
#Rucker50;Docus société et culture|#|Films documentaires|#|Documentaires sportifs|#|Documentaires historiques;NA;5.3;2016-11-30;/title/80147908/;film
#Selfie;Comédies|#|Films roumains|#|Drames|#|Films pour ados;Flavia Hojda|#|Crina Semciuc|#|Olimpia Melinte|#|Levent Sali|#|Vlad Logigan|#|Alex Calin|#|Alina Chivulescu|#|Razvan Vasilescu;6.1;2019-06-01;/title/81092768/;film
#Selfie 69;Films roumains|#|Drames romantiques|#|Films romantiques|#|Drames|#|Comédies|#|Comédies romantiques;Maia Morgenstern|#|Olimpia Melinte|#|Crina Semciuc|#|Flavia Hojda|#|Maria Dinulescu|#|Alex Calin|#|Vlad Logigan|#|Levent Sali|#|Silvia Busuioc|#|Mihaela Mihut;6.5;2019-06-01;/title/81092766/;film
10000;Action et aventure|#|Action|#|Aventure;Steven Strait|#|Camilla Belle|#|Cliff Curtis|#|Joel Virgel|#|Affif Ben Badra|#|Mo Zinal|#|Nathanael Baring|#|Mona Hammond|#|Omar Sharif;5.1;2019-06-06;/title/70060018/;film
10 jours à Sun City;Films romantiques|#|Films africains|#|Films Nollywood|#|Comédies|#|Comédies romantiques;Ayo Makun|#|Adesua Etomi|#|Richard Mofe-Damijo|#|Mercy Johnson|#|Falz|#|Tuface Idibia|#|Thenjiwe Moseley|#|Motlatsi Mafatshe|#|Celeste Ntuli|#|Miguel A. Núñez Jr.;5.7;2019-11-15;/title/81172729/;film
100 mètres;Drames|#|Films inspirés de faits réels|#|Films espagnols;Dani Rovira|#|Karra Elejalde|#|Alexandra Jiménez|#|David Verdaguer|#|Clara Segura|#|Alba Ribas|#|Bruno Bergonzini|#|Ricardo Pereira|#|Manuela Couto|#|Marc Balaguer;7.5;2017-03-09;/title/80141173/;film
1000 Rupee Note;Films indiens|#|Drames sociaux|#|Drames|#|Films policiers|#|Drames policiers|#|Films en marathi;Usha Naik|#|Sandeep Pathak|#|Shrikant Yadav|#|Ganesh Yadav|#|Pooja Nayak|#|Devendra Gaikwad;7.3;2016-11-30;/title/80113785/;film
127 Heures;Drames|#|Films inspirés de faits réels|#|Films inspirés de livres;James Franco|#|Kate Mara|#|Amber Tamblyn|#|Sean Bott|#|Koleman Stinger|#|Treat Williams|#|John Lawrence|#|Kate Burton|#|Clémence Poésy|#|Fenton Quinn|#|Lizzy Caplan;7.6;2018-11-15;/title/70141813/;film
15 August;Films indiens|#|Drames romantiques|#|Films indépendants|#|Films romantiques|#|Drames|#|Comédies|#|Comédies romantiques|#|Films en marathi;Rahul Pethe|#|Mrunmayee Deshpande|#|Adinath Kothare|#|Vaibhav Mangale|#|Jaywant Wadkar|#|Satish Pulekar|#|Naina Apte|#|Uday Tikekar;5.8;2019-03-29;/title/81033429/;film
1922;Thrillers psychologiques|#|Thrillers|#|Films inspirés de livres|#|Films policiers|#|Thrillers policiers;Thomas Jane|#|Molly Parker|#|Dylan Schmid|#|Kaitlyn Bernard|#|Bob Frazer|#|Brian d'Arcy James|#|Neal McDonough;6.3;2017-10-20;/title/80135164/;film
1944, un tunnel en enfer;Documentaires|#|Films documentaires;NA;7.2;2019-07-01;/title/81121181/;film
